State,District,Year,MURDER,RAPE,KIDNAPPING & ABDUCTION,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,Total Crimes against Women,LOCATION,Latitude,Longitude
KARNATAKA,BAGALKOT,2001,59.0,2.0,17.0,1.0,50.0,0.0,"BAGALKOT, Karnataka, India",16.1793224,75.6999315
KARNATAKA,BANGALORE RURAL,2001,137.0,13.0,37.0,30.0,123.0,0.0,"BANGALORE RURAL, Karnataka, India",13.0010872,77.3361225
KARNATAKA,BELGAUM,2001,120.0,8.0,27.0,4.0,125.0,0.0,"BELGAUM, Karnataka, India",15.8572666,74.5069343
KARNATAKA,BELLARY,2001,58.0,16.0,14.0,5.0,49.0,0.0,"BELLARY, Karnataka, India",15.1433952,76.9193876
KARNATAKA,BIDAR,2001,48.0,7.0,19.0,2.0,51.0,0.0,"BIDAR, Karnataka, India",18.02072965,77.24872035766641
KARNATAKA,BIJAPUR,2001,51.0,6.0,24.0,1.0,92.0,0.0,"BIJAPUR, Karnataka, India",16.8269911,75.7175387
KARNATAKA,CHAMARAJNAGAR,2001,19.0,4.0,5.0,7.0,15.0,0.0,"CHAMARAJNAGAR, Karnataka, India",11.806899371493463,76.69142876089062
KARNATAKA,CHITRADURGA,2001,31.0,18.0,4.0,2.0,35.0,0.0,"CHITRADURGA, Karnataka, India",14.3049174,76.52972341987515
KARNATAKA,DAKSHIN KANNADA,2001,33.0,3.0,9.0,1.0,25.0,0.0,"DAKSHIN KANNADA, Karnataka, India",12.8827367,75.0309089
KARNATAKA,DAVANAGERE,2001,58.0,22.0,23.0,8.0,77.0,0.0,"DAVANAGERE, Karnataka, India",14.2558835,75.83034209165376
KARNATAKA,DHARWAD RURAL,2001,25.0,3.0,3.0,3.0,8.0,0.0,"DHARWAD RURAL, Karnataka, India",15.47196065,74.98934985
KARNATAKA,GADAG,2001,22.0,2.0,4.0,3.0,18.0,0.0,"GADAG, Karnataka, India",15.41669195,75.6815801296564
KARNATAKA,GULBARGA,2001,95.0,20.0,35.0,6.0,104.0,0.0,"GULBARGA, Karnataka, India",17.3310003,76.8334228
KARNATAKA,HASSAN,2001,64.0,20.0,17.0,4.0,68.0,0.0,"HASSAN, Karnataka, India",13.03018525,76.17449676658171
KARNATAKA,HAVERI,2001,24.0,3.0,12.0,5.0,32.0,0.0,"HAVERI, Karnataka, India",14.71802675,75.36564232024529
KARNATAKA,KODAGU,2001,26.0,4.0,4.0,4.0,14.0,0.0,"KODAGU, Karnataka, India",12.3827332,75.66407145094288
KARNATAKA,KOLAR,2001,69.0,17.0,21.0,18.0,39.0,0.0,"KOLAR, Karnataka, India",13.18050655,78.26693288646007
KARNATAKA,KOPPAL,2001,23.0,6.0,12.0,5.0,23.0,0.0,"KOPPAL, Karnataka, India",15.57482375,76.3118493692591
KARNATAKA,MANDYA,2001,67.0,15.0,9.0,7.0,72.0,0.0,"MANDYA, Karnataka, India",12.6368939,76.72754771427819
KARNATAKA,MYSORE RURAL,2001,53.0,12.0,14.0,6.0,51.0,0.0,"MYSORE RURAL, Karnataka, India",12.3120575,76.6587557
KARNATAKA,RAICHUR,2001,33.0,12.0,11.0,1.0,52.0,0.0,"RAICHUR, Karnataka, India",16.054719400000003,76.90036472411589
KARNATAKA,RAILWAYS,2001,12.0,1.0,1.0,1.0,0.0,0.0,"RAILWAYS, Karnataka, India",15.3552989,75.14591205453912
KARNATAKA,SHIMOGA,2001,56.0,12.0,14.0,6.0,134.0,0.0,"SHIMOGA, Karnataka, India",14.05565025,75.23805528480658
KARNATAKA,TUMKUR,2001,80.0,6.0,21.0,28.0,44.0,0.0,"TUMKUR, Karnataka, India",13.3400771,77.1006208
KARNATAKA,UDUPI,2001,16.0,2.0,2.0,0.0,16.0,0.0,"UDUPI, Karnataka, India",13.5269784,74.87318787345797
KARNATAKA,TOTAL,2001,1626.0,293.0,559.0,220.0,1755.0,0.0,"TOTAL, Karnataka, India",13.01956585,77.55269829104734
KARNATAKA,BAGALKOT,2002,51.0,4.0,17.0,2.0,63.0,0.0,"BAGALKOT, Karnataka, India",16.1793224,75.6999315
KARNATAKA,BANGALORE RURAL,2002,153.0,22.0,38.0,35.0,129.0,0.0,"BANGALORE RURAL, Karnataka, India",13.0010872,77.3361225
